horizon,model,cost_scenario,fee_bps,slippage_bps,include_spread,validation_macro_f1,accuracy,macro_f1,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,confusion_matrix,gross_pnl,net_pnl,sharpe_daily_annualized,sharpe_daily_observations,max_drawdown,turnover,hit_rate,number_of_trades,average_pnl_per_trade,active_fraction,test_rows
5,ofi_threshold,zero_cost,0.0,0.0,False,0.3461713578902594,0.3443004031869128,0.3433288121691938,0.3263397745095138,0.3834706128717018,0.32093583044677976,0.34256958250497016,0.35074188523124855,0.33822119102861564,"[[11028, 10864, 10300], [12590, 13734, 12833], [10175, 11217, 10933]]",0.26981974850554313,0.26981974850554313,24.697412620974834,2,-0.0636936348884033,20058.0,0.47883816204426893,19121,1.4111173500629837e-05,0.6545324768022841,103674
5,ofi_threshold,spread_only,0.0,0.0,True,0.3461713578902594,0.3443004031869128,0.3433288121691938,0.3263397745095138,0.3834706128717018,0.32093583044677976,0.34256958250497016,0.35074188523124855,0.33822119102861564,"[[11028, 10864, 10300], [12590, 13734, 12833], [10175, 11217, 10933]]",0.26981974850554313,0.05092291063915151,37.55628798720426,2,-0.14329201736180597,20058.0,0.47883816204426893,19121,2.6631928580697408e-06,0.6545324768022841,103674
5,ofi_threshold,realistic_low,0.5,0.25,True,0.3461713578902594,0.3443004031869128,0.3433288121691938,0.3263397745095138,0.3834706128717018,0.32093583044677976,0.34256958250497016,0.35074188523124855,0.33822119102861564,"[[11028, 10864, 10300], [12590, 13734, 12833], [10175, 11217, 10933]]",0.26981974850554313,-1.453427089360848,-20.169561521006713,2,-1.4545292685157827,20058.0,0.47883816204426893,19121,-7.601208563154899e-05,0.6545324768022841,103674
5,ofi_threshold,realistic_base,1.0,0.5,True,0.3461713578902594,0.3443004031869128,0.3433288121691938,0.3263397745095138,0.3834706128717018,0.32093583044677976,0.34256958250497016,0.35074188523124855,0.33822119102861564,"[[11028, 10864, 10300], [12590, 13734, 12833], [10175, 11217, 10933]]",0.26981974850554313,-2.9577770893608477,-20.331613667627774,2,-2.9584292685158053,20058.0,0.47883816204426893,19121,-0.0001546873641211677,0.6545324768022841,103674
5,ofi_threshold,stressed,2.0,1.0,True,0.3461713578902594,0.3443004031869128,0.3433288121691938,0.3263397745095138,0.3834706128717018,0.32093583044677976,0.34256958250497016,0.35074188523124855,0.33822119102861564,"[[11028, 10864, 10300], [12590, 13734, 12833], [10175, 11217, 10933]]",0.26981974850554313,-5.966477089360848,-20.411512196131163,2,-5.966477089360794,20058.0,0.47883816204426893,19121,-0.0003120379211004052,0.6545324768022841,103674
5,logistic_no_ofi,zero_cost,0.0,0.0,False,0.3717877591932243,0.3913420915562243,0.39064454631122,0.3503513848697809,0.47881019650169837,0.3556530138094865,0.3685698310139165,0.3851929412365605,0.42146945088940446,"[[11865, 8214, 12113], [11504, 15083, 12570], [10497, 8204, 13624]]",0.24556475250155796,0.24556475250155796,20.38183656094557,2,-0.04349657680213903,68852.0,0.48131572748811885,39824,6.166250313920198e-06,0.6961533267743117,103674
5,logistic_no_ofi,spread_only,0.0,0.0,True,0.3717877591932243,0.3913420915562243,0.39064454631122,0.3503513848697809,0.47881019650169837,0.3556530138094865,0.3685698310139165,0.3851929412365605,0.42146945088940446,"[[11865, 8214, 12113], [11504, 15083, 12570], [10497, 8204, 13624]]",0.24556475250155796,-0.5265806297948189,-26.791864765838966,2,-0.532793026193633,68852.0,0.48131572748811885,39824,-1.3222695605534826e-05,0.6961533267743117,103674
5,logistic_no_ofi,realistic_low,0.5,0.25,True,0.3717877591932243,0.3913420915562243,0.39064454631122,0.3503513848697809,0.47881019650169837,0.3556530138094865,0.3685698310139165,0.3851929412365605,0.42146945088940446,"[[11865, 8214, 12113], [11504, 15083, 12570], [10497, 8204, 13624]]",0.24556475250155796,-5.690480629794818,-21.971782094169228,2,-5.691432886263969,68852.0,0.48131572748811885,39824,-0.00014289073497877707,0.6961533267743117,103674
5,logistic_no_ofi,realistic_base,1.0,0.5,True,0.3717877591932243,0.3913420915562243,0.39064454631122,0.3503513848697809,0.47881019650169837,0.3556530138094865,0.3685698310139165,0.3851929412365605,0.42146945088940446,"[[11865, 8214, 12113], [11504, 15083, 12570], [10497, 8204, 13624]]",0.24556475250155796,-10.854380629794816,-21.781673122051025,2,-10.854380629794797,68852.0,0.48131572748811885,39824,-0.0002725587743520193,0.6961533267743117,103674
5,logistic_no_ofi,stressed,2.0,1.0,True,0.3717877591932243,0.3913420915562243,0.39064454631122,0.3503513848697809,0.47881019650169837,0.3556530138094865,0.3685698310139165,0.3851929412365605,0.42146945088940446,"[[11865, 8214, 12113], [11504, 15083, 12570], [10497, 8204, 13624]]",0.24556475250155796,-21.182180629794818,-21.680881936676045,2,-21.18218062979458,68852.0,0.48131572748811885,39824,-0.0005318948530985038,0.6961533267743117,103674
5,logistic_all,zero_cost,0.0,0.0,False,0.37193460387987565,0.39140961089569226,0.3907475598257621,0.35023543260741613,0.4792428821377446,0.35581170443555765,0.36968812127236583,0.38473325331358377,0.4211291569992266,"[[11901, 8184, 12107], [11553, 15065, 12539], [10526, 8186, 13613]]",0.21877780593983231,0.21877780593983231,17.402252732334045,2,-0.04787999502527851,68598.0,0.4817619291518432,39710,5.509388213040351e-06,0.6967899376892953,103674
5,logistic_all,spread_only,0.0,0.0,True,0.37193460387987565,0.39140961089569226,0.3907475598257621,0.35023543260741613,0.4792428821377446,0.35581170443555765,0.36968812127236583,0.38473325331358377,0.4211291569992266,"[[11901, 8184, 12107], [11553, 15065, 12539], [10526, 8186, 13613]]",0.21877780593983231,-0.548594878414435,-28.652738888335517,2,-0.5522876940770806,68598.0,0.4817619291518432,39710,-1.3815030934636994e-05,0.6967899376892953,103674
5,logistic_all,realistic_low,0.5,0.25,True,0.37193460387987565,0.39140961089569226,0.3907475598257621,0.35023543260741613,0.4792428821377446,0.35581170443555765,0.36968812127236583,0.38473325331358377,0.4211291569992266,"[[11901, 8184, 12107], [11553, 15065, 12539], [10526, 8186, 13613]]",0.21877780593983231,-5.693444878414435,-22.107165502498663,2,-5.6950372365802195,68598.0,0.4817619291518432,39710,-0.00014337559502428695,0.6967899376892953,103674
5,logistic_all,realistic_base,1.0,0.5,True,0.37193460387987565,0.39140961089569226,0.3907475598257621,0.35023543260741613,0.4792428821377446,0.35581170443555765,0.36968812127236583,0.38473325331358377,0.4211291569992266,"[[11901, 8184, 12107], [11553, 15065, 12539], [10526, 8186, 13613]]",0.21877780593983231,-10.838294878414436,-21.854461310466135,2,-10.838922219368193,68598.0,0.4817619291518432,39710,-0.0002729361591139369,0.6967899376892953,103674
5,logistic_all,stressed,2.0,1.0,True,0.37193460387987565,0.39140961089569226,0.3907475598257621,0.35023543260741613,0.4792428821377446,0.35581170443555765,0.36968812127236583,0.38473325331358377,0.4211291569992266,"[[11901, 8184, 12107], [11553, 15065, 12539], [10526, 8186, 13613]]",0.21877780593983231,-21.127994878414434,-21.720648098164776,2,-21.1279948784142,68598.0,0.4817619291518432,39710,-0.0005320572872932368,0.6967899376892953,103674
5,lightgbm_all,zero_cost,0.0,0.0,False,0.39967884165150985,0.4087620811389548,0.3518858873585708,0.3871023513139696,0.4246139610201839,0.3718943422543806,0.13910288270377733,0.7500063845544858,0.2639443155452436,"[[4478, 19806, 7908], [3287, 29368, 6502], [3803, 19990, 8532]]",0.1630911343039898,0.1630911343039898,15.91613490916293,2,-0.03994201840247524,29708.0,0.4923210663575775,20341,8.017852332923151e-06,0.3328703435769817,103674
